,ANI-FIS-3272501756.png,ANI-FIS-1333865549.png,ANI-FIS-3065878584.png,ANI-FIS-528610105.png,ANI-FIS-721256483.png,ANI-FIS-2634271037.png,ANI-FIS-2985465711.png,ANI-FIS-3830746353.png,ANI-FIS-3840726579.png,ANI-FIS-3289525458.png,ANI-FIS-3774743897.png,ANI-FIS-941868701.png,ANI-FIS-3318304668.png,ANI-FIS-3999779319.png,ANI-FIS-2879779681.png,ANI-FIS-4202169322.png,ANI-FIS-4212442282.png,ANI-FIS-971531242.png,ANI-FIS-3439292130.png,ANI-FIS-1937235070.png,ANI-FIS-321083669.png,ANI-FIS-4157951424.png,ANI-FIS-4041290355.png,ANI-FIS-3496523484.png,ANI-FIS-2480140398.png,ANI-FIS-562335448.png,ANI-FIS-1610411839.png,ANI-FIS-3873620486.png,ANI-FIS-1933356696.png,ANI-FIS-1931569018.png,ANI-FIS-3995243889.png,ANI-FIS-1661725191.png,ANI-FIS-1339187319.png,ANI-FIS-2903121281.png,ANI-FIS-1569113144.png,ANI-FIS-8455562.png,ANI-FIS-1103219471.png,ANI-FIS-2721914765.png,ANI-FIS-916352748.png,ANI-FIS-2514354327.png,ANI-FIS-2589087817.png,ANI-FIS-3718576134.png,ANI-FIS-3980939151.png,ANI-FIS-3786957408.png,ANI-FIS-3535491767.png,ANI-FIS-1682540201.png,ANI-FIS-1278951305.png,ANI-FIS-354244014.png,ANI-FIS-662020540.png,ANI-FIS-551222264.png,ANI-FIS-817354375.png,ANI-FIS-1806566623.png,ANI-FIS-566368778.png,ANI-FIS-3531428700.png,ANI-FIS-3269682177.png,ANI-FIS-1450553654.png,ANI-FIS-2330028438.png,ANI-FIS-3248054975.png,ANI-FIS-2409652745.png
ANI-FIS-3272501756.png,0.0,0.5888957381248474,0.5692533254623413,0.5767484903335571,0.5639180541038513,0.6100943684577942,0.546904981136322,0.5620549321174622,0.6223968267440796,0.635621190071106,0.5638173818588257,0.5432164072990417,0.5558736324310303,0.6247637271881104,0.5646339654922485,0.5528861284255981,0.5634181499481201,0.5300127267837524,0.5856937170028687,0.6163741946220398,0.5825043320655823,0.5556266903877258,0.5916216969490051,0.5837593674659729,0.5643016695976257,0.5776926279067993,0.585830569267273,0.572489321231842,0.6412542462348938,0.5703049302101135,0.5649481415748596,0.5483060479164124,0.5599774122238159,0.5472573041915894,0.5093355178833008,0.5320800542831421,0.5470719933509827,0.5883513689041138,0.5893648862838745,0.5058334469795227,0.5693266987800598,0.614638090133667,0.581800639629364,0.5001986026763916,0.5841505527496338,0.5951834321022034,0.560153603553772,0.5461190342903137,0.5564078092575073,0.654858410358429,0.6228139400482178,0.4958687722682953,0.5251127481460571,0.5708257555961609,0.5702273845672607,0.5821011066436768,0.6080378890037537,0.5445898175239563,0.5396362543106079
ANI-FIS-1333865549.png,0.5888957381248474,0.0,0.6173539161682129,0.5659792423248291,0.6011069416999817,0.6003568172454834,0.6052451133728027,0.6295307874679565,0.6400517225265503,0.6175742745399475,0.5791341066360474,0.6489022970199585,0.6452714204788208,0.656993567943573,0.5340688228607178,0.607448935508728,0.6292445063591003,0.6236811876296997,0.6335145831108093,0.5880857706069946,0.6162346005439758,0.5953993797302246,0.6132686734199524,0.6625498533248901,0.6199727058410645,0.5466972589492798,0.5906966328620911,0.6037930846214294,0.5741445422172546,0.5942615866661072,0.6402730941772461,0.6608531475067139,0.6364491581916809,0.6042788028717041,0.6275104880332947,0.6412674784660339,0.5801880955696106,0.6244566440582275,0.6382128000259399,0.6078654527664185,0.6075430512428284,0.6227498650550842,0.6289945244789124,0.6191529631614685,0.5901724100112915,0.623263955116272,0.617700457572937,0.5769858956336975,0.5919219851493835,0.5942140221595764,0.5966458916664124,0.6159489154815674,0.6026708483695984,0.6144208312034607,0.6450892686843872,0.6653239130973816,0.6376326680183411,0.5591288208961487,0.6419147253036499
ANI-FIS-3065878584.png,0.5692533254623413,0.6173539161682129,0.0,0.5622064471244812,0.6267208456993103,0.6241825819015503,0.5857287645339966,0.6096284985542297,0.5477465987205505,0.5641475319862366,0.5349361896514893,0.5303962230682373,0.5513765811920166,0.655809223651886,0.6185378432273865,0.6162198781967163,0.5085204839706421,0.5470727682113647,0.5840274095535278,0.5578892827033997,0.6330792903900146,0.5283395051956177,0.6103975772857666,0.5969652533531189,0.6295297145843506,0.5436573624610901,0.5993008017539978,0.5463953614234924,0.6065645217895508,0.5624098777770996,0.5532535910606384,0.5515069961547852,0.5505549907684326,0.5512549877166748,0.538850724697113,0.6207917332649231,0.5734233856201172,0.5385782122612,0.553510308265686,0.5625402331352234,0.5865510106086731,0.5552321672439575,0.521074116230011,0.5704734921455383,0.6160486936569214,0.5609692931175232,0.5292090177536011,0.6155884265899658,0.5453189611434937,0.5819764137268066,0.565055787563324,0.6080858707427979,0.5510482788085938,0.5318470001220703,0.5176041722297668,0.5101423859596252,0.5555428862571716,0.5262058973312378,0.5822363495826721
ANI-FIS-528610105.png,0.5767484903335571,0.5659792423248291,0.5622064471244812,0.0,0.59520423412323,0.6284235715866089,0.5968936681747437,0.6447162628173828,0.5957575440406799,0.607502818107605,0.5571900606155396,0.5854734182357788,0.6014245748519897,0.65444415807724,0.5896059274673462,0.590933620929718,0.5619359612464905,0.5882159471511841,0.5974715948104858,0.558211088180542,0.6006566286087036,0.576598584651947,0.626244068145752,0.6354820728302002,0.6230342388153076,0.5538833737373352,0.5588162541389465,0.534197986125946,0.5848214626312256,0.5657768845558167,0.5786352157592773,0.6200509667396545,0.5665720105171204,0.5824095010757446,0.59745192527771,0.6268478631973267,0.5714415311813354,0.5678439140319824,0.5666751861572266,0.5745596289634705,0.6013649106025696,0.6016814112663269,0.5624352097511292,0.5859920382499695,0.6072326302528381,0.5859454274177551,0.553862988948822,0.5816033482551575,0.571282684803009,0.6102144718170166,0.5676228404045105,0.5938721895217896,0.5594974756240845,0.5539287328720093,0.5642696619033813,0.6258694529533386,0.594341516494751,0.5205745697021484,0.620340883731842
ANI-FIS-721256483.png,0.5639180541038513,0.6011069416999817,0.6267208456993103,0.59520423412323,0.0,0.5822719931602478,0.5071808695793152,0.5678888559341431,0.6490378379821777,0.6681653261184692,0.6467394232749939,0.6547876596450806,0.6187043190002441,0.5923513770103455,0.5414795279502869,0.49906203150749207,0.6131110191345215,0.6302815675735474,0.5578725934028625,0.6578285694122314,0.5667747259140015,0.6253432631492615,0.5663995742797852,0.598065972328186,0.53997403383255,0.6059826612472534,0.5785727500915527,0.5575472116470337,0.6347335577011108,0.6113113164901733,0.6264782547950745,0.6238902807235718,0.6111634969711304,0.5923666954040527,0.6103231906890869,0.5304425358772278,0.5656154751777649,0.6259982585906982,0.6174052357673645,0.5761695504188538,0.5733303427696228,0.6568562388420105,0.6548459529876709,0.6041175127029419,0.5737370252609253,0.6589716076850891,0.6401534676551819,0.5063137412071228,0.6311092376708984,0.6593035459518433,0.6360172629356384,0.5505661368370056,0.6192223429679871,0.6543604135513306,0.6423214077949524,0.6652637124061584,0.6510336995124817,0.621276319026947,0.5545476675033569
ANI-FIS-2634271037.png,0.6100943684577942,0.6003568172454834,0.6241825819015503,0.6284235715866089,0.5822719931602478,0.0,0.6089273691177368,0.5665730237960815,0.6103249192237854,0.6300851106643677,0.6243898272514343,0.6768704652786255,0.6218665242195129,0.575241208076477,0.5538772344589233,0.5972731709480286,0.6061774492263794,0.6129637360572815,0.5767792463302612,0.6479763388633728,0.5547059774398804,0.6155655980110168,0.5338106155395508,0.6038773655891418,0.6033223867416382,0.594671368598938,0.5563879609107971,0.5626511573791504,0.5890333652496338,0.5776806473731995,0.6332737803459167,0.65167635679245,0.6349882483482361,0.5939989686012268,0.6012336015701294,0.5644171237945557,0.5720943212509155,0.6083009839057922,0.6201465129852295,0.6224570870399475,0.5736850500106812,0.604322075843811,0.6367520689964294,0.6319553852081299,0.5625688433647156,0.6232205629348755,0.6339051127433777,0.5565741062164307,0.5953199863433838,0.5983690619468689,0.5696470141410828,0.6340606212615967,0.6157765984535217,0.6300797462463379,0.6335316896438599,0.6494485139846802,0.604085385799408,0.6207351684570312,0.6170103549957275
ANI-FIS-2985465711.png,0.546904981136322,0.6052451133728027,0.5857287645339966,0.5968936681747437,0.5071808695793152,0.6089273691177368,0.0,0.5741082429885864,0.6426318287849426,0.6891149878501892,0.6174147129058838,0.62530916929245,0.6349253058433533,0.6104431748390198,0.5537721514701843,0.4806206226348877,0.6084156036376953,0.6294611692428589,0.5203067660331726,0.6381911039352417,0.5881510376930237,0.6095085144042969,0.5627593398094177,0.5634704828262329,0.5324365496635437,0.6270374059677124,0.6014561057090759,0.5748265981674194,0.634675145149231,0.6376407742500305,0.6362172961235046,0.6000450253486633,0.619918942451477,0.5688725709915161,0.6114598512649536,0.5263103246688843,0.5578984618186951,0.6297413110733032,0.6293858885765076,0.5459223389625549,0.5473412275314331,0.6782025098800659,0.6163685321807861,0.5974115133285522,0.5804077982902527,0.6558047533035278,0.6220185160636902,0.5330075621604919,0.6531328558921814,0.6852854490280151,0.620143473148346,0.5320470333099365,0.6030324101448059,0.6402142643928528,0.6450542211532593,0.6487864255905151,0.6648867130279541,0.6290678381919861,0.5323254466056824
ANI-FIS-3830746353.png,0.5620549321174622,0.6295307874679565,0.6096284985542297,0.6447162628173828,0.5678888559341431,0.5665730237960815,0.5741082429885864,0.0,0.596335232257843,0.6369478106498718,0.6029697060585022,0.6584011912345886,0.6076695919036865,0.5460743308067322,0.5645524263381958,0.5860738158226013,0.5811693072319031,0.6044984459877014,0.5460135340690613,0.6346882581710815,0.5837883353233337,0.5982252955436707,0.539243221282959,0.5421470403671265,0.5954400300979614,0.6089853048324585,0.5939970016479492,0.5751982927322388,0.6198126077651978,0.5999199748039246,0.6523818969726562,0.6095819473266602,0.631451427936554,0.5361966490745544,0.5884360074996948,0.5296288132667542,0.5585280060768127,0.6147135496139526,0.6129510998725891,0.5722640752792358,0.5433338284492493,0.6456891894340515,0.6070946455001831,0.6309383511543274,0.5750023126602173,0.6420612335205078,0.6155948638916016,0.5770485401153564,0.6454054713249207,0.6457092761993408,0.629708468914032,0.6135307550430298,0.6272103190422058,0.6115580201148987,0.617688775062561,0.5973485708236694,0.6109325885772705,0.6267442107200623,0.5877925157546997
ANI-FIS-3840726579.png,0.6223968267440796,0.6400517225265503,0.5477465987205505,0.5957575440406799,0.6490378379821777,0.6103249192237854,0.6426318287849426,0.596335232257843,0.0,0.5871804356575012,0.5668929815292358,0.628673791885376,0.5888850688934326,0.6385698914527893,0.6218498945236206,0.6569075584411621,0.545852541923523,0.5817996859550476,0.60359787940979,0.609220027923584,0.61592698097229,0.5534886121749878,0.6244233250617981,0.6245307922363281,0.6677101850509644,0.5745185017585754,0.5916198492050171,0.5551074147224426,0.6121760010719299,0.561130166053772,0.6114533543586731,0.6105732321739197,0.5866097807884216,0.569976806640625,0.6087989807128906,0.626975953578949,0.6086789965629578,0.5522655844688416,0.5759131908416748,0.629217803478241,0.6272116899490356,0.5766082406044006,0.598921537399292,0.644481897354126,0.644295871257782,0.6005238890647888,0.6053416132926941,0.6369118690490723,0.6121912002563477,0.6086816787719727,0.5938213467597961,0.6603345274925232,0.6053336262702942,0.5626152753829956,0.5568848848342896,0.5657666325569153,0.5708698034286499,0.568044126033783,0.6506809592247009
ANI-FIS-3289525458.png,0.635621190071106,0.6175742745399475,0.5641475319862366,0.607502818107605,0.6681653261184692,0.6300851106643677,0.6891149878501892,0.6369478106498718,0.5871804356575012,0.0,0.5583755970001221,0.6042616963386536,0.5666755437850952,0.6508663296699524,0.6151798963546753,0.6867977976799011,0.5549048781394958,0.5449771285057068,0.673234760761261,0.5601639747619629,0.5962046384811401,0.5735989809036255,0.6332523226737976,0.6658427119255066,0.6799788475036621,0.5787212252616882,0.5555509328842163,0.571801483631134,0.5641272068023682,0.5578826665878296,0.5527569055557251,0.5940756797790527,0.562529981136322,0.5972943305969238,0.5901386737823486,0.6279438138008118,0.6157979369163513,0.5576340556144714,0.597133219242096,0.6306899189949036,0.6385928988456726,0.5042867660522461,0.5975165367126465,0.6017102599143982,0.5804625153541565,0.5538751482963562,0.5854387879371643,0.6514121294021606,0.5418219566345215,0.5444037914276123,0.5691521167755127,0.6692010760307312,0.5711902976036072,0.5533502101898193,0.5605109930038452,0.5887344479560852,0.5550146102905273,0.5712658762931824,0.6818475723266602
ANI-FIS-3774743897.png,0.5638173818588257,0.5791341066360474,0.5349361896514893,0.5571900606155396,0.6467394232749939,0.6243898272514343,0.6174147129058838,0.6029697060585022,0.5668929815292358,0.5583755970001221,0.0,0.5532757639884949,0.5753471851348877,0.6649242043495178,0.5862170457839966,0.6434550881385803,0.5205097198486328,0.5397939085960388,0.6223893165588379,0.5548391938209534,0.6282774209976196,0.47640207409858704,0.6115853190422058,0.6163675785064697,0.6495255827903748,0.5513676404953003,0.5949249267578125,0.5769208073616028,0.5849093794822693,0.5383489727973938,0.570991039276123,0.5550171136856079,0.5466564893722534,0.5733579993247986,0.5305289030075073,0.6320860385894775,0.5737349987030029,0.5359892845153809,0.5671571493148804,0.5614295601844788,0.5916723012924194,0.5917442440986633,0.5467182993888855,0.5616878271102905,0.632049024105072,0.5746579170227051,0.5240935683250427,0.6300561428070068,0.5410717129707336,0.563609778881073,0.5485070943832397,0.6235918402671814,0.5521208643913269,0.5027896761894226,0.5132437348365784,0.5746972560882568,0.5460540056228638,0.517766535282135,0.6410249471664429
ANI-FIS-941868701.png,0.5432164072990417,0.6489022970199585,0.5303962230682373,0.5854734182357788,0.6547876596450806,0.6768704652786255,0.62530916929245,0.6584011912345886,0.628673791885376,0.6042616963386536,0.5532757639884949,0.0,0.5519300103187561,0.694299578666687,0.6390656232833862,0.644622266292572,0.5557820200920105,0.5278422832489014,0.6350647211074829,0.5998314619064331,0.6207065582275391,0.5663887858390808,0.632267415523529,0.641627848148346,0.6370770335197449,0.6011446714401245,0.6026509404182434,0.617842435836792,0.6536349058151245,0.5831025838851929,0.53536057472229,0.5238502025604248,0.5477980375289917,0.6196144223213196,0.5189157724380493,0.6345933675765991,0.623540997505188,0.5723575949668884,0.5894224047660828,0.5812800526618958,0.6445301175117493,0.6035629510879517,0.5939428806304932,0.5104765892028809,0.662911057472229,0.6064843535423279,0.5827198028564453,0.6445184350013733,0.5566674470901489,0.644230306148529,0.6183744072914124,0.5878740549087524,0.5368858575820923,0.5717294216156006,0.5458040237426758,0.5888875722885132,0.5968632698059082,0.5434991717338562,0.6048426032066345
ANI-FIS-3318304668.png,0.5558736324310303,0.6452714204788208,0.5513765811920166,0.6014245748519897,0.6187043190002441,0.6218665242195129,0.6349253058433533,0.6076695919036865,0.5888850688934326,0.5666755437850952,0.5753471851348877,0.5519300103187561,0.0,0.6515098810195923,0.6365331411361694,0.6298090219497681,0.5459476709365845,0.5077509880065918,0.620842456817627,0.6179092526435852,0.5760629177093506,0.5651997327804565,0.6038694977760315,0.6261115074157715,0.6268742084503174,0.599962592124939,0.5511701703071594,0.5364835262298584,0.631139874458313,0.5634371638298035,0.5105990767478943,0.5213223099708557,0.5279960036277771,0.6007703542709351,0.5141619443893433,0.6042085886001587,0.5843319296836853,0.5607607364654541,0.5801959037780762,0.5790830850601196,0.6291619539260864,0.5750174522399902,0.6194145679473877,0.5160845518112183,0.6205726861953735,0.6060088872909546,0.5958690643310547,0.6231518387794495,0.518246054649353,0.620045006275177,0.6005648970603943,0.5839313864707947,0.5365402698516846,0.5538157820701599,0.5146880745887756,0.5938947200775146,0.5601763129234314,0.5560894012451172,0.5744675993919373
ANI-FIS-3999779319.png,0.6247637271881104,0.656993567943573,0.655809223651886,0.65444415807724,0.5923513770103455,0.575241208076477,0.6104431748390198,0.5460743308067322,0.6385698914527893,0.6508663296699524,0.6649242043495178,0.694299578666687,0.6515098810195923,0.0,0.6156947612762451,0.613368034362793,0.6379165053367615,0.6525664329528809,0.5729950070381165,0.6674195528030396,0.5980967879295349,0.6491891741752625,0.5781619548797607,0.6038371920585632,0.6397448778152466,0.6396755576133728,0.6120427250862122,0.5838286876678467,0.6454532146453857,0.6319502592086792,0.6728022694587708,0.6603727340698242,0.669354259967804,0.6096620559692383,0.6529315114021301,0.5615042448043823,0.6149349808692932,0.6475786566734314,0.6363175511360168,0.6318031549453735,0.5994246602058411,0.6679180264472961,0.6563940048217773,0.6656618714332581,0.5743669271469116,0.6693090796470642,0.652593195438385,0.5870262384414673,0.6765758395195007,0.6575396060943604,0.6399661302566528,0.6463966369628906,0.6608918309211731,0.652132511138916,0.6682015657424927,0.6400223970413208,0.6471239924430847,0.6644954681396484,0.6151214241981506
ANI-FIS-2879779681.png,0.5646339654922485,0.5340688228607178,0.6185378432273865,0.5896059274673462,0.5414795279502869,0.5538772344589233,0.5537721514701843,0.5645524263381958,0.6218498945236206,0.6151798963546753,0.5862170457839966,0.6390656232833862,0.6365331411361694,0.6156947612762451,0.0,0.5611868500709534,0.6004987359046936,0.5947606563568115,0.587979793548584,0.6232815384864807,0.5737440586090088,0.5941967368125916,0.5537704825401306,0.5831904411315918,0.5681747794151306,0.5226945877075195,0.5472541451454163,0.5896420478820801,0.5514237284660339,0.5972648859024048,0.6224985122680664,0.6223678588867188,0.6108696460723877,0.5781561136245728,0.618480384349823,0.5719648599624634,0.5595362186431885,0.6154823303222656,0.6253232955932617,0.6004360318183899,0.5471347570419312,0.6267268657684326,0.6194709539413452,0.5836312770843506,0.5323931574821472,0.6361926794052124,0.6241132616996765,0.5280148386955261,0.6059587597846985,0.6088151931762695,0.5738793611526489,0.5942056179046631,0.5965730547904968,0.6088029146194458,0.6291691064834595,0.6383309364318848,0.6208431720733643,0.5748472809791565,0.624440610408783
ANI-FIS-4202169322.png,0.5528861284255981,0.607448935508728,0.6162198781967163,0.590933620929718,0.49906203150749207,0.5972731709480286,0.4806206226348877,0.5860738158226013,0.6569075584411621,0.6867977976799011,0.6434550881385803,0.644622266292572,0.6298090219497681,0.613368034362793,0.5611868500709534,0.0,0.6281141638755798,0.6226614713668823,0.5508425831794739,0.6477190256118774,0.5803395509719849,0.6214574575424194,0.5822109580039978,0.5830180644989014,0.5376299023628235,0.61832594871521,0.5836288332939148,0.5574357509613037,0.6490976810455322,0.6278386116027832,0.6301212310791016,0.6279935240745544,0.6332096457481384,0.582043468952179,0.6359972953796387,0.5121385455131531,0.5676628351211548,0.6498124599456787,0.6302278637886047,0.5719002485275269,0.5746097564697266,0.6723754405975342,0.6199030876159668,0.587077796459198,0.5888853073120117,0.6728566288948059,0.6293621063232422,0.5251684188842773,0.6434707641601562,0.667360782623291,0.6098409295082092,0.5472740530967712,0.6251882314682007,0.6448251605033875,0.6675276756286621,0.6575072407722473,0.6537547707557678,0.6302387118339539,0.5482978224754333
ANI-FIS-4212442282.png,0.5634181499481201,0.6292445063591003,0.5085204839706421,0.5619359612464905,0.6131110191345215,0.6061774492263794,0.6084156036376953,0.5811693072319031,0.545852541923523,0.5549048781394958,0.5205097198486328,0.5557820200920105,0.5459476709365845,0.6379165053367615,0.6004987359046936,0.6281141638755798,0.0,0.5366843938827515,0.5847027897834778,0.5722410082817078,0.6015146970748901,0.4963148236274719,0.6165108680725098,0.6013830900192261,0.6418293118476868,0.5512503981590271,0.5874850749969482,0.5425044298171997,0.5993873476982117,0.5292869210243225,0.5524178743362427,0.5451980829238892,0.5055675506591797,0.5413303971290588,0.5138334631919861,0.6004554033279419,0.5525954365730286,0.48874443769454956,0.5341593027114868,0.5576449632644653,0.5891466736793518,0.5740951299667358,0.5420984625816345,0.5821518898010254,0.6269721984863281,0.5738483667373657,0.528534471988678,0.5984505414962769,0.5255050659179688,0.578787088394165,0.5730876326560974,0.6024096608161926,0.5345348119735718,0.5044109225273132,0.4637916386127472,0.5498965978622437,0.5322731733322144,0.530911386013031,0.6124283671379089
ANI-FIS-971531242.png,0.5300127267837524,0.6236811876296997,0.5470727682113647,0.5882159471511841,0.6302815675735474,0.6129637360572815,0.6294611692428589,0.6044984459877014,0.5817996859550476,0.5449771285057068,0.5397939085960388,0.5278422832489014,0.5077509880065918,0.6525664329528809,0.5947606563568115,0.6226614713668823,0.5366843938827515,0.0,0.6243963837623596,0.6072750687599182,0.5867036581039429,0.5514847636222839,0.5907537341117859,0.624953031539917,0.628068208694458,0.5541802644729614,0.5297126173973083,0.5645098090171814,0.6126313209533691,0.5340068340301514,0.5076916217803955,0.5106296539306641,0.5256774425506592,0.5732754468917847,0.49629947543144226,0.5916872620582581,0.5841468572616577,0.5389083027839661,0.5831032991409302,0.5806148052215576,0.5910266637802124,0.5340191125869751,0.5898059010505676,0.5098317265510559,0.6130775213241577,0.557356059551239,0.5645870566368103,0.6205769777297974,0.5085441470146179,0.6012097001075745,0.5790644288063049,0.5849698185920715,0.4904458224773407,0.5557982921600342,0.523059070110321,0.593502938747406,0.5314618349075317,0.5110151767730713,0.6119208335876465
